"SYS.STBR-NAME","INV#","OPEN-DATE","CLOSE DATE","PART #","ACCT-MK","DESC","QSHP","QORD","EXT-COST","CORE","SRC"
"Honda of Concord","463324-1","06/06/25","06/16/25","HP71200-T43-A01","HO","GRILLE ASSY., FR.",1,1,114.88,,6
"Honda of Concord","463461-1","06/10/25","06/16/25","HP68100-TGS-A02ZZ","HO","TAILGATE",1,1,"1,007.32",,6
"Honda of Concord","463528-1","06/12/25","06/16/25","HP33550-TLA-406","HO","TAILLIGHT ASSY., L",1,1,371.42,,6
"Honda of Concord","463532-1","06/12/25","06/16/25","HP71800-T0G-A01","HO","GARNISH ASSY., R.",1,1,93.35,,6
"Honda of Concord",463560,"06/12/25","06/16/25","HP44017-TR0-A11","HO","BOOT SET, INBOARD",1,1,35.03,,6
"Honda of Concord",463568,"06/13/25","06/16/25","HP71593-TA0-A00","HO","SPACER, R. RR.",1,1,6.62,,5
"Honda of Concord",463568,"06/13/25","06/16/25","HP74401-TA5-A00","HO","TAPE, R.",1,1,3.41,,8
"Honda of Concord",463568,"06/13/25","06/16/25","HP52350-TA0-A00","HO","ARM B, RR. (LOWER)",1,1,78.12,,6
"Honda of Concord",463568,"06/13/25","06/16/25","HP52370-TA0-A00","HO","ARM A, R. RR.",1,1,68.71,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP04715-TXM-A90ZZ","HO","FACE, RR. BMPR (DOT)",1,1,158.33,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP75722-TXM-A01","HO","EMBLEM, RR.",1,1,22.81,,6
"Honda of Concord",463569,"06/13/25","06/16/25","HP75700-TF0-000","HO","EMBLEM",1,1,24.22,,5
"Honda of Concord","463571-1","06/13/25","06/16/25","HP71677-T20-A00","HO","FRAME, L. RR. BUMPER",1,1,4.28,,6
"Honda of Concord","463571-1","06/13/25","06/16/25","HP71591-T20-A00","HO","GARNISH, L. RR.",1,1,9.68,,5
"Honda of Concord",463578,"06/13/25","06/16/25","HP60211-TLA-A00ZZ","HO","PANEL, R. FR. FENDER",1,1,118.30,,6
"Honda of Concord",463578,"06/13/25","06/16/25","HP74115-TLA-A02","HO","PROTECTOR, R. FR.",1,1,29.91,,2
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71240-3W0-A00","HO","BEAM, R. FR. (UPPER)",1,1,66.11,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71290-3W0-A00","HO","BEAM, L. FR. (UPPER)",1,1,66.11,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP33150-3W0-A02","HO","HEADLIGHT ASSY., L.",1,1,372.05,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71321-3W0-A00","HO","PLATE, FR. (UPPER)",1,1,30.74,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71325-3W0-A00","HO","PLATE, FR.",1,1,87.56,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71415-3W0-A00","HO","FRAME, R. FR.",1,1,10.81,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71417-T20-A00","HO","STAY, R. FR.",1,1,18.09,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71416-3W0-A00","HO","STAY, R. FR. (LOWER)",1,1,13.45,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP71418-3W0-A00","HO","PATCH, FR. BULKHEAD",1,1,14.46,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP81460-TR3-A01","HO","ADJUSTER",1,1,40.58,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP04816-3W0-A60ZA","HO","BUCKLE SET *NH900L*",1,1,44.93,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77930-3V0-B11","HO","SENSOR, FR. CRASH",1,1,25.12,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77930-3V0-B21","HO","SENSOR, FR. CRASH",1,1,25.12,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP77960-3V0-A82","HO","SRS UNIT",1,1,322.65,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP81825-3W0-A01ZA","HO","PRETENSIONER*NH900L*",1,1,63.02,,6
"Honda of Concord","463580-1","06/13/25","06/16/25","HP90672-SNA-A01","HO","HOLDER, ROD",1,1,0.88,,4
"Honda of Concord",463593,"06/13/25","06/16/25","HP08P17-TLA-111","HO","ALL SEASON MAT",1,1,117.00,,7
"Honda of Concord",463593,"06/13/25","06/16/25","HP44306-TLA-A01","HO","DRIVESHAFT ASSY., L.",1,1,263.81,,6
"Honda of Concord",463593,"06/13/25","06/16/25","HP91205-P0X-005","HO","OIL SEAL (40X56X9)",1,1,15.80,,3
"Honda of Concord",463593,"06/13/25","06/16/25","HP33900-TLA-A21","HO","FOGLIGHT, R. FR.",1,1,61.44,,5
"Honda of Concord",463593,"06/13/25","06/16/25","HP90305-S3V-A11","HO","NUT, SPINDLE",1,1,5.25,,1
"Honda of Concord",463598,"06/13/25","06/16/25","HP34155-TLA-A11","HO","LIGHT ASSY., L. LID",1,1,92.67,,6
"Honda of Concord",463598,"06/13/25","06/16/25","HP04717-TLA-A00ZZ","HO","FACE, L. RR. BUMPER",1,1,171.68,,5
"Honda of Concord",463598,"06/13/25","06/16/25","HP71501-TLA-A70","HO","FACE, RR. BUMPER",1,1,196.49,,6
"Honda of Concord",463598,"06/13/25","06/16/25","HP74954-TLA-A51","HO","SENSOR ASSY., L.",1,1,135.14,,6
"Honda of Concord",463598,"06/13/25","06/16/25","HP75722-TLA-A00","HO","EMBLEM, RR.",1,1,28.40,,3
"Honda of Concord",463598,"06/13/25","06/16/25","HP75719-TLA-A00","HO","EMBLEM, RR.",1,1,22.88,,4
"Honda of Concord",463598,"06/13/25","06/16/25","HP71519-TLA-A11","HO","MOLDING, L. RR.",1,1,20.28,,5
"Honda of Concord",463630,"06/16/25","06/16/25","HPHEET","HO","GAS TREATMENT",1,1,3.81,,19
"Honda of Concord",463631,"06/16/25","06/16/25","HPWLKEY","HO","WHEEL LOCK KEY",1,1,11.95,,39
"Honda of Concord",463632,"06/16/25","06/16/25","HP12341-RCA-A01","HO","GASKET, HEAD COVER",2,2,24.18,,3
"Honda of Concord",463632,"06/16/25","06/16/25","HP43022-SV4-G24","HO","PAD SET, RR.",1,1,39.04,,12
"Honda of Concord",463635,"06/16/25","06/16/25","HP91345-RDA-A01","HO","O-RING (13.0X1.9)",1,1,0.69,,4
"Honda of Concord",463635,"06/16/25","06/16/25","HP91370-SV4-000","HO","O-RING (14.4X1.9)",1,1,1.98,,4
"Honda of Concord",463636,"06/16/25","06/16/25","HP08P17-3A0-110A","HO","FLOOR MATS",1,1,122.40,,7
"Honda of Concord",463637,"06/16/25","06/16/25","HP08P17-3A0-110A","HO","FLOOR MATS",1,1,122.40,,7
"Honda of Concord",463638,"06/16/25","06/16/25","HP08P17-3A0-110A","HO","FLOOR MATS",1,1,122.40,,7
"Honda of Concord",463640,"06/16/25","06/16/25","HP72148-S0A-000","HO","BATTERY (CR1616)",1,1,3.60,,12
"Honda of Concord",463642,"06/16/25","06/16/25","HP74142-T20-A11","HO","RUBBER, HOOD SEAL",1,1,19.99,,4
"Honda of Concord",463642,"06/16/25","06/16/25","HP73155-T20-A01","HO","COVER, R. HOOD HINGE",1,1,4.01,,6
"Honda of Concord",463643,"06/16/25","06/16/25","HPWLKEY","HO","WHEEL LOCK KEY",1,1,11.95,,39
"Honda of Concord",463644,"06/16/25","06/16/25","HP71140-TA0-A00","HO","BEAM, R. FR. BUMPER",1,1,12.83,,5
"Honda of Concord",463644,"06/16/25","06/16/25","HP74176-TA0-A00","HO","BRACKET, L. (UPPER)",1,1,8.02,,6
"Honda of Concord",463644,"06/16/25","06/16/25","HP74171-TA0-A00","HO","BRACKET, R. (UPPER)",1,1,7.99,,6
"Honda of Concord",463644,"06/16/25","06/16/25","HP74206-TA0-A00","HO","GARN, R. FR. FENDER",1,1,21.31,,6
"Honda of Concord",463644,"06/16/25","06/16/25","HP71123-TA0-A01","HO","COVER, FR. GRILLE",1,1,16.70,,6
"Honda of Concord",463645,"06/16/25","06/16/25","HP08U45-3A0-100","HO","TRAY, CARGO",0,1,0.00,,7
"Honda of Concord",463645,"06/16/25","06/16/25","HP08P17-3A0-110A","HO","FLOOR MATS",0,1,0.00,,7
"Honda of Concord",463646,"06/16/25","06/16/25","HP75312-T0A-A01","HO","GARNISH, R. FR. DOOR",1,1,85.30,,5
"Honda of Concord",463646,"06/16/25","06/16/25","HP75313-T0A-A01","HO","GARNISH, R. RR. DOOR",1,1,84.06,,5
"Honda of Concord",463646,"06/16/25","06/16/25","HP75390-T0A-A01","HO","GARNISH, R. RR.",1,1,13.53,,5
"Honda of Concord",463647,"06/16/25","06/16/25","HP08P17-3A0-110A","HO","FLOOR MATS",1,1,122.40,,7
"Honda of Concord",463647,"06/16/25","06/16/25","HP08U45-3A0-100","HO","TRAY, CARGO",1,1,79.60,,7
"Honda of Concord",463648,"06/16/25","06/16/25","HP15400-PCX-306","HO","FILTER, OIL",1,1,9.28,,12
"Honda of Concord",463648,"06/16/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",1,1,5.62,,12
"Honda of Concord",463649,"06/16/25","06/16/25","HP25510-RN0-003","HO","COOLER (ATF)",1,1,190.76,,6
"Honda of Concord",463650,"06/16/25","06/16/25","HP71193-TG7-A51","HO","SPACER, R. FR.",1,1,3.91,,4
"Honda of Concord",463652,"06/16/25","06/16/25","HP91207-P7Z-003","HO","OIL SEAL (44X68X8)",1,1,9.82,,6
"Honda of Concord",463653,"06/16/25","06/16/25","HP71190-T2A-A01","HO","BEAM, L. FR. BUMPER",2,2,36.96,,4
"Honda of Concord",463654,"06/16/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",2,2,11.24,,12
"Honda of Concord",463654,"06/16/25","06/16/25","HP94109-14000","HO","WASHER, DRAIN (14MM)",2,2,0.76,,12
"Honda of Concord",463656,"06/16/25","06/16/25","HP72148-SLJ-000","HO","BATTERY (CR2032)",1,1,3.60,,12
"Honda of Concord",463657,"06/16/25","06/16/25","HP74218-T22-A10","HO","COWL TOP SET, FR.",0,1,0.00,,6
"Honda of Concord",463658,"06/16/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",1,1,5.62,,12
"Honda of Concord","CM463463","06/16/25","06/16/25","HP80292-TBA-A11","HO","ELEMENT, FILTER",-1,-1,-17.55,,12
"Honda of Concord","CM463612","06/16/25","06/16/25","HP06311-RV0-516RM","HO","ALTERNATOR",-1,-1,-75.00,,4
"Honda of Concord","RO539002","05/31/25","06/16/25","HP79160-TEX-Y61","  ","MOTOR ASSY., AIR MIX",1,1,35.09,,6
"Honda of Concord","RO542972","06/09/25","06/16/25","HP42751-MIC-5052","  ","TIRE 245/60R18",1,1,201.95,,11
"Honda of Concord","RO543492","06/09/25","06/16/25","HP71510-TG7-A50","HO","GARNISH, RR.",1,1,292.23,,6
"Honda of Concord","RO543492","06/09/25","06/16/25","HP71115-TG7-A70","HO","GARNISH, FR. BUMPER",1,1,245.91,,8
"Honda of Concord","RO543580","06/09/25","06/16/25","HP31110-R5A-A01","HO","BELT, ALTERNATOR",1,1,31.54,,12
"Honda of Concord","RO543580","06/09/25","06/16/25","HP12341-R40-A00","HO","GASKET, HEAD COVER",1,1,16.81,,2
"Honda of Concord","RO543580","06/09/25","06/16/25","HP12342-RYE-004","HO","SEAL,SPARK PLUG T",4,4,15.48,,1
"Honda of Concord","RO543580","06/09/25","06/16/25","HP26000-R5L-305","HO","CONVERTER, TORQUE",1,1,828.37,,6
"Honda of Concord","RO543580","06/09/25","06/16/25","HP15830-R5A-A01","HO","VALVE ASSY.",1,1,80.58,,8
"Honda of Concord","RO543580","06/09/25","06/16/25","HP08200-9008","HO","FLUID (ATF DW-1)",6,6,36.42,,9
"Honda of Concord","RO543930","06/13/25","06/16/25","HPFS020-BAS-N0L","HO","OIL, FULLSYN (0W20)",6,6,17.88,,18
"Honda of Concord","RO543930","06/13/25","06/16/25","HP100332","HO","OIL FILTER",1,1,7.82,,22
"Honda of Concord","RO543930","06/13/25","06/16/25","HPNPB-18","HO","CURVED BLADE",1,1,10.99,,22
"Honda of Concord","RO543930","06/13/25","06/16/25","HPNPB-26","HO","CURVED BLADE",1,1,14.99,,22
"Honda of Concord","RO543930","06/13/25","06/16/25","HP6-010-A","HO","REAR WIPER",1,1,8.95,,6
"Honda of Concord","RO543930","06/13/25","06/16/25","HP87139-YZZ93","HO","CABIN FILTER",1,1,26.39,,6
"Honda of Concord","RO543930","06/13/25","06/16/25","HP9430","HO","AIR FILTER",1,1,23.45,,6
"Honda of Concord","RO544543","06/11/25","06/16/25","HPTINT2","HO","TINT",1,1,15.00,,19
"Honda of Concord","RO544543","06/11/25","06/16/25","HPPPF","HO","PAINT PROT FILM",1,1,30.00,,19
"Honda of Concord","RO544546","06/11/25","06/16/25","HPTINT2","HO","TINT",1,1,15.00,,19
"Honda of Concord","RO544546","06/11/25","06/16/25","HPPPF","HO","PAINT PROT FILM",1,1,30.00,,19
"Honda of Concord","RO544550","06/11/25","06/16/25","HPTINT2","HO","TINT",1,1,15.00,,19
"Honda of Concord","RO544550","06/11/25","06/16/25","HPPPF","HO","PAINT PROT FILM",1,1,30.00,,19
"Honda of Concord","RO544562","06/11/25","06/16/25","HPTINT2","HO","TINT",1,1,15.00,,19
"Honda of Concord","RO544562","06/11/25","06/16/25","HPPPF","HO","PAINT PROT FILM",1,1,30.00,,19
"Honda of Concord","RO544911","06/13/25","06/16/25","HP08798-9008","HO","FLUID, BRAKE (DOT 3)",1,1,4.23,,9
"Honda of Concord","RO544911","06/13/25","06/16/25","PKSAE020","HO",,1,1,0.00,,0
"Honda of Concord","RO544911","06/13/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",1,1,5.62,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HPFS020-BAS-N0L","HO","OIL, FULLSYN (0W20)",5,5,14.90,,18
"Honda of Concord","RO544911","06/13/25","06/16/25","HP94109-14000","HO","WASHER, DRAIN (14MM)",1,1,0.38,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP42751-FIR-015","HO","TIRE (P215/50R17)",1,1,168.95,,11
"Honda of Concord","RO544911","06/13/25","06/16/25","HP42753-SB8-661","HO","VALVE, RIM",1,1,1.03,,1
"Honda of Concord","RO544911","06/13/25","06/16/25","HP90304-SA5-013","HO","NUT, WHEEL",4,4,33.56,,1
"Honda of Concord","RO544911","06/13/25","06/16/25","HP80291-TF3-E01","HO","ELEMENT, FILTER",1,1,17.55,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP17220-64A-A00","HO","ELEMENT, AIR CLEANER",1,1,18.90,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP76630-T20-A01","HO","BLADE, WSW (475MM)",1,1,12.97,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP76620-T20-A01","HO","BLADE, WSW (600MM)",1,1,14.20,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP72147-T20-A11","HO","FOB ASSY., ENTRY KEY",1,1,72.65,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP35118-T20-305","HO","KEY, EMERGENCY",1,1,22.56,,12
"Honda of Concord","RO544911","06/13/25","06/16/25","HP72148-SLJ-000","HO","BATTERY (CR2032)",1,1,3.60,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP90471-PX4-000","HO","WASHER, DRAIN (18MM)",1,1,3.71,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP11107-PWA-300","HO","WASHER (24MM)",1,1,1.89,,6
"Honda of Concord","RO544918","06/13/25","06/16/25","HP08200-9017","HO","ATF-TYPE 3.1",4,4,73.28,,9
"Honda of Concord","RO544918","06/13/25","06/16/25","HP08798-9008","HO","FLUID, BRAKE (DOT 3)",1,1,4.23,,9
"Honda of Concord","RO544918","06/13/25","06/16/25","PKSAE020","HO",,1,1,0.00,,0
"Honda of Concord","RO544918","06/13/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",1,1,5.62,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HPFS020-BAS-N0L","HO","OIL, FULLSYN (0W20)",6,6,17.88,,18
"Honda of Concord","RO544918","06/13/25","06/16/25","HP94109-14000","HO","WASHER, DRAIN (14MM)",1,1,0.38,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP80292-SDA-407","HO","ELEMENT",1,1,17.11,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP17220-5J6-A10","HO","ELEMENT, AIR CLEANER",1,1,19.12,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP76622-TG7-A01","HO","RUB, BLADE (600MM)",1,1,4.49,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP76622-SMA-004","HO","RUB, BLADE (650MM)",1,1,4.49,,12
"Honda of Concord","RO544918","06/13/25","06/16/25","HP76622-TZ5-A01","HO","RUB, BLADE (350MM)",1,1,4.14,,12
"Honda of Concord","RO545159","06/12/25","06/16/25",,"HO",,,,0.00,,
"Honda of Concord","RO545533","06/13/25","06/16/25","HP15400-PLM-A02","HO","FILTER, OIL",1,1,5.62,,12
"Honda of Concord","RO545533","06/13/25","06/16/25","HP94109-14000","HO","WASHER, DRAIN (14MM)",1,1,0.38,,12
"Honda of Concord","RO545533","06/13/25","06/16/25","HPSAE020","HO","0W20VAL/MAXLIFE",4,4,10.08,,18
"Honda of Concord","RO545742","06/13/25","06/16/25","HP72147-TVA-A32","HO","FOB ASSY. (DRIVER 2)",1,1,89.99,,12
"Honda of Concord","RO545742","06/13/25","06/16/25","HP35118-T2A-A50","HO","KEY, EMERGENCY",1,1,23.02,,12
"Honda of Concord","RO545757","06/13/25","06/16/25","HP48880567","  ","Brake Rotor, Rear",1,1,49.00,,6
"Honda of Concord","RO545757","06/13/25","06/16/25","HP2166XB","  ","Caliper, Rear Left",1,1,66.98,,6
"Honda of Concord","RO545757","06/13/25","06/16/25","HP43022-SZA-A11","  ","PAD SET, RR.",1,1,51.59,,12
"Honda of Concord","RO546003","06/13/25","06/16/25","HP59-0023","HO","CAP",1,1,5.00,,19
"Honda of Concord","RO546003","06/13/25","06/16/25","HP08U45-3A0-100","HO","TRAY, CARGO",1,1,79.60,,7
"Honda of Concord","RO546003","06/13/25","06/16/25","HP08W42-SCV-103","HO","LOCK SET (CHROME)",1,1,36.80,,7
"Honda of Concord","RO546003","06/13/25","06/16/25","HP08P00-3A0-100","HO","SPLASH GUARD SET",1,1,79.60,,7
"Honda of Concord","RO546003","06/13/25","06/16/25","HP08P04-3A0-100","HO","PROTECTION FILM",1,1,61.20,,7
"Honda of Concord","RO546004","06/13/25","06/16/25","HP59-0023","HO","CAP",1,1,5.00,,19
"Honda of Concord","RO546004","06/13/25","06/16/25","HP08P00-3A0-100","HO","SPLASH GUARD SET",1,1,79.60,,7
